elevasi;volume;area;;;;;;;;;;
224.50;0.00;113.370.46;;;;;;;;;;
224.51;1.135.30;113.690.49;;;;;;;;;;
224.52;2.273.81;114.010.51;;;;;;;;;;
224.53;3.415.51;114.330.53;;;;;;;;;;
224.54;4.560.42;114.650.56;;;;;;;;;;
224.55;5.708.53;114.970.58;;;;;;;;;;
224.56;6.859.83;115.290.61;;;;;;;;;;
224.57;8.014.34;115.610.63;;;;;;;;;;
224.58;9.172.04;115.930.66;;;;;;;;;;
224.59;10.332.95;116.250.68;;;;;;;;;;
224.60;11.497.06;116.570.70;;;;;;;;;;
224.61;12.664.37;116.890.73;;;;;;;;;;
224.62;13.834.87;117.210.75;;;;;;;;;;
224.63;15.008.58;117.530.78;;;;;;;;;;
224.64;16.185.49;117.850.80;;;;;;;;;;
224.65;17.365.60;118.170.82;;;;;;;;;;
224.66;18.548.90;118.490.85;;;;;;;;;;
224.67;19.735.41;118.810.87;;;;;;;;;;
224.68;20.925.12;119.130.90;;;;;;;;;;
224.69;22.118.03;119.450.92;;;;;;;;;;
224.70;23.314.14;119.770.95;;;;;;;;;;
224.71;24.513.45;120.090.97;;;;;;;;;;
224.72;25.715.96;120.410.99;;;;;;;;;;
224.73;26.921.67;120.731.02;;;;;;;;;;
224.74;28.130.58;121.051.04;;;;;;;;;;
224.75;29.342.69;121.371.07;;;;;;;;;;
224.76;30.558.00;121.691.09;;;;;;;;;;
224.77;31.776.51;122.011.12;;;;;;;;;;
224.78;32.998.22;122.331.14;;;;;;;;;;
224.79;34.223.14;122.651.16;;;;;;;;;;
224.80;35.451.25;122.971.19;;;;;;;;;;
224.81;36.682.56;123.291.21;;;;;;;;;;
224.82;37.917.07;123.611.24;;;;;;;;;;
224.83;39.154.78;123.931.26;;;;;;;;;;
224.84;40.395.70;124.251.28;;;;;;;;;;
224.85;41.639.81;124.571.31;;;;;;;;;;
224.86;42.887.12;124.891.33;;;;;;;;;;
224.87;44.137.64;125.211.36;;;;;;;;;;
224.88;45.391.35;125.531.38;;;;;;;;;;
224.89;46.648.26;125.851.41;;;;;;;;;;
224.90;47.908.38;126.171.43;;;;;;;;;;
224.91;49.171.69;126.491.45;;;;;;;;;;
224.92;50.438.21;126.811.48;;;;;;;;;;
224.93;51.707.92;127.131.50;;;;;;;;;;
224.94;52.980.84;127.451.53;;;;;;;;;;
224.95;54.256.95;127.771.55;;;;;;;;;;
224.96;55.536.27;128.091.58;;;;;;;;;;
224.97;56.818.78;128.411.60;;;;;;;;;;
224.98;58.104.50;128.731.62;;;;;;;;;;
224.99;59.393.42;129.051.65;;;;;;;;;;
225.00;60.685.53;129.371.67;;;;;;;;;;
225.01;61.979.91;129.503.20;;;;;;;;;;
225.02;63.275.60;129.634.74;;;;;;;;;;
225.03;64.572.60;129.766.27;;;;;;;;;;
225.04;65.870.92;129.897.80;;;;;;;;;;
225.05;67.170.56;130.029.33;;;;;;;;;;
225.06;68.471.51;130.160.87;;;;;;;;;;
225.07;69.773.78;130.292.40;;;;;;;;;;
225.08;71.077.36;130.423.93;;;;;;;;;;
225.09;72.382.25;130.555.46;;;;;;;;;;
225.10;73.688.47;130.686.99;;;;;;;;;;
225.11;74.995.99;130.818.53;;;;;;;;;;
225.12;76.304.84;130.950.06;;;;;;;;;;
225.13;77.615.00;131.081.59;;;;;;;;;;
225.14;78.926.47;131.213.12;;;;;;;;;;
225.15;80.239.26;131.344.66;;;;;;;;;;
225.16;81.553.36;131.476.19;;;;;;;;;;
225.17;82.868.78;131.607.72;;;;;;;;;;
225.18;84.185.52;131.739.25;;;;;;;;;;
225.19;85.503.57;131.870.78;;;;;;;;;;
225.20;86.822.93;132.002.32;;;;;;;;;;
225.21;88.143.61;132.133.85;;;;;;;;;;
225.22;89.465.61;132.265.38;;;;;;;;;;
225.23;90.788.92;132.396.91;;;;;;;;;;
225.24;92.113.55;132.528.45;;;;;;;;;;
225.25;93.439.49;132.659.98;;;;;;;;;;
225.26;94.766.75;132.791.51;;;;;;;;;;
225.27;96.095.32;132.923.04;;;;;;;;;;
225.28;97.425.21;133.054.57;;;;;;;;;;
225.29;98.756.41;133.186.11;;;;;;;;;;
225.30;100.088.93;133.317.64;;;;;;;;;;
225.31;101.422.76;133.449.17;;;;;;;;;;
225.32;102.757.91;133.580.70;;;;;;;;;;
225.33;104.094.38;133.712.23;;;;;;;;;;
225.34;105.432.16;133.843.77;;;;;;;;;;
225.35;106.771.25;133.975.30;;;;;;;;;;
225.36;108.111.66;134.106.83;;;;;;;;;;
225.37;109.453.39;134.238.36;;;;;;;;;;
225.38;110.796.43;134.369.90;;;;;;;;;;
225.39;112.140.79;134.501.43;;;;;;;;;;
225.40;113.486.46;134.632.96;;;;;;;;;;
225.41;114.833.45;134.764.49;;;;;;;;;;
225.42;116.181.75;134.896.02;;;;;;;;;;
225.43;117.531.37;135.027.56;;;;;;;;;;
225.44;118.882.30;135.159.09;;;;;;;;;;
225.45;120.234.55;135.290.62;;;;;;;;;;
225.46;121.588.11;135.422.15;;;;;;;;;;
225.47;122.942.99;135.553.69;;;;;;;;;;
225.48;124.299.19;135.685.22;;;;;;;;;;
225.49;125.656.70;135.816.75;;;;;;;;;;
225.50;127.015.52;135.948.28;;;;;;;;;;
225.51;128.375.66;136.079.81;;;;;;;;;;
225.52;129.737.12;136.211.35;;;;;;;;;;
225.53;131.099.89;136.342.88;;;;;;;;;;
225.54;132.463.98;136.474.41;;;;;;;;;;
225.55;133.829.38;136.605.94;;;;;;;;;;
225.56;135.196.09;136.737.48;;;;;;;;;;
225.57;136.564.13;136.869.01;;;;;;;;;;
225.58;137.933.47;137.000.54;;;;;;;;;;
225.59;139.304.14;137.132.07;;;;;;;;;;
225.60;140.676.12;137.263.60;;;;;;;;;;
225.61;142.049.41;137.395.14;;;;;;;;;;
225.62;143.424.02;137.526.67;;;;;;;;;;
225.63;144.799.94;137.658.20;;;;;;;;;;
225.64;146.177.18;137.789.73;;;;;;;;;;
225.65;147.555.74;137.921.26;;;;;;;;;;
225.66;148.935.61;138.052.80;;;;;;;;;;
225.67;150.316.79;138.184.33;;;;;;;;;;
225.68;151.699.30;138.315.86;;;;;;;;;;
225.69;153.083.11;138.447.39;;;;;;;;;;
225.70;154.468.24;138.578.93;;;;;;;;;;
225.71;155.854.69;138.710.46;;;;;;;;;;
225.72;157.242.45;138.841.99;;;;;;;;;;
225.73;158.631.53;138.973.52;;;;;;;;;;
225.74;160.021.92;139.105.05;;;;;;;;;;
225.75;161.413.63;139.236.59;;;;;;;;;;
225.76;162.806.65;139.368.12;;;;;;;;;;
225.77;164.200.99;139.499.65;;;;;;;;;;
225.78;165.596.65;139.631.18;;;;;;;;;;
225.79;166.993.62;139.762.72;;;;;;;;;;
225.80;168.391.90;139.894.25;;;;;;;;;;
225.81;169.791.50;140.025.78;;;;;;;;;;
225.82;171.192.42;140.157.31;;;;;;;;;;
225.83;172.594.65;140.288.84;;;;;;;;;;
225.84;173.998.19;140.420.38;;;;;;;;;;
225.85;175.403.06;140.551.91;;;;;;;;;;
225.86;176.809.23;140.683.44;;;;;;;;;;
225.87;178.216.72;140.814.97;;;;;;;;;;
225.88;179.625.53;140.946.51;;;;;;;;;;
225.89;181.035.65;141.078.04;;;;;;;;;;
225.90;182.447.09;141.209.57;;;;;;;;;;
225.91;183.859.85;141.341.10;;;;;;;;;;
225.92;185.273.91;141.472.63;;;;;;;;;;
225.93;186.689.30;141.604.17;;;;;;;;;;
225.94;188.106.00;141.735.70;;;;;;;;;;
225.95;189.524.01;141.867.23;;;;;;;;;;
225.96;190.943.34;141.998.76;;;;;;;;;;
